seed,episode,total_steps,ret,length,terminal_cause,n_awake,n_nrem,n_rem,mean_overload,mean_recall
1,135,2905,-95.753125,21,energy,18,1,2,0.640625,0.9583333333333334
1,136,2921,-98.571875,16,overload,12,0,4,0.6357421875,1.0
1,137,2942,-96.41875,21,energy,19,1,1,0.7247023809523809,1.0
1,138,2963,-95.925,21,energy,18,1,2,0.6488095238095238,0.9761904761904762
1,139,2976,-98.575,13,overload,11,2,0,0.7211538461538461,1.0
1,140,3004,-97.7375,28,energy,20,3,5,0.6049107142857143,0.9955357142857143
1,141,3029,-96.515625,25,energy,20,2,3,0.640625,0.995
1,142,3043,-97.684375,14,overload,12,2,0,0.6774553571428571,0.9553571428571429
1,143,3052,-97.40625,9,overload,9,0,0,0.7118055555555556,0.9861111111111112
1,144,3067,-97.759375,15,overload,11,1,3,0.5572916666666666,0.9666666666666667
1,145,3077,-99.16875,10,overload,8,2,0,0.696875,1.0
1,146,3098,-98.421875,21,overload,16,3,2,0.6629464285714286,1.0
1,147,3116,-95.04375,18,energy,16,0,2,0.6024305555555556,0.9722222222222222
1,148,3131,-97.371875,15,overload,13,0,2,0.678125,0.9333333333333333
1,149,3149,-98.128125,18,overload,15,0,3,0.7126736111111112,1.0
1,150,3170,-96.9875,21,overload,18,2,1,0.6994047619047619,1.0
1,151,3186,-98.190625,16,overload,13,0,3,0.6806640625,0.9296875
1,152,3202,-97.596875,16,overload,13,1,2,0.6435546875,0.984375
1,153,3223,-97.003125,21,energy,18,1,2,0.7001488095238095,0.9761904761904762
1,154,3246,-96.234375,23,energy,18,1,4,0.5971467391304348,0.9728260869565217
1,155,3270,-95.525,24,energy,20,2,2,0.6302083333333334,0.9947916666666666
1,156,3291,-96.690625,21,energy,18,1,2,0.6852678571428571,0.9940476190476191
1,157,3307,-97.053125,16,overload,15,0,1,0.7470703125,0.9609375
1,158,3316,-97.515625,9,overload,9,0,0,0.7239583333333334,1.0
1,159,3327,-97.178125,11,overload,10,0,1,0.6434659090909091,1.0
1,160,3339,-97.115625,12,overload,11,0,1,0.66796875,1.0
1,161,3346,-98.09375,7,overload,7,0,0,0.7276785714285714,0.9285714285714286
1,162,3363,-97.76875,17,overload,14,1,2,0.6746323529411765,0.9705882352941176
1,163,3384,-96.628125,21,energy,18,1,2,0.6822916666666666,1.0
1,164,3404,-97.08125,20,energy,17,1,2,0.6890625,0.98125
1,165,3423,-96.51875,19,energy,16,0,3,0.6430921052631579,0.9802631578947368
1,166,3443,-96.34375,20,overload,15,2,3,0.5421875,1.0
1,167,3464,-94.9875,21,energy,18,1,2,0.6041666666666666,1.0
1,168,3478,-97.04375,14,overload,12,0,2,0.6316964285714286,0.9910714285714286
1,169,3495,-95.7875,17,overload,16,0,1,0.6875,0.9705882352941176
1,170,3519,-98.496875,24,energy,17,1,6,0.6165364583333334,0.9635416666666666
1,171,3528,-97.296875,9,overload,9,0,0,0.6996527777777778,1.0
1,172,3555,-97.66875,27,overload,20,3,4,0.6284722222222222,0.9722222222222222
1,173,3576,-97.2125,21,overload,17,2,2,0.6577380952380952,1.0
1,174,3586,-98.06875,10,overload,9,0,1,0.696875,1.0
1,175,3609,-96.303125,23,energy,17,1,5,0.5523097826086957,0.9945652173913043
1,176,3639,-95.2125,30,energy,21,3,6,0.5104166666666666,1.0
1,177,3658,-96.7375,19,energy,16,0,3,0.6546052631578947,0.993421052631579
